final_ID,leaf_sample,Subplot,Species,leaf_area_cm2,leaf_mass_g,LMA_gm2,Year
538,1,D03W,fagr,58.75,0.24479,41.66638298,2018
148,1,D04E,acru,95.14,0.4419,46.44734076,2018
3301,1,D04E,fagr,37.61,0.1382,36.7455464,2018
3302,1,D04E,fagr,30.42,0.1218,40.03944773,2018
160,1,D04E,pist,1.551,0.0089,57.38233398,2018
161,1,D04E,pist,1.27,0.0098,77.16535433,2018
174,1,D04E,pist,1.478,0.0112,75.77807848,2018
175,1,D04E,pist,1.314,0.0104,79.14764079,2018
3305,1,D04E,pist,1.511,0.0165,109.1992058,2018
3306,1,D04E,pist,1.316,0.0104,79.02735562,2018
3309,1,D04E,pist,1.359,0.0096,70.6401766,2018
196,1,D04E,pist,1.405,0.0123,87.54448399,2018
3310,1,D04E,pist,1.311,0.0114,86.95652174,2018
154,1,D04E,quru,113.53,0.5836,51.404915,2018
3297,1,D04W,acru,38.16,0.1791,46.93396226,2018
74,1,D04W,amel,18.83,0.1226,65.10886883,2018
3299,1,D04W,amel,35.84,0.1304,36.38392857,2018
15,1,D04W,pist,1.297,0.0128,98.68928296,2018
16,1,D04W,pist,1.376,0.0133,96.65697674,2018
63,1,D04W,pist,1.362,0.0119,87.37151248,2018
60,1,D04W,pist,1.279,0.0132,103.2056294,2018
99,1,D04W,pist,1.544,0.016,103.626943,2018
101,1,D04W,pist,1.355,0.013,95.94095941,2018
100,1,D04W,pist,1.647,0.016,97.14632665,2018
131,1,D04W,pist,1.388,0.0113,81.41210375,2018
133,1,D04W,pist,1.38,0.0127,92.02898551,2018
4037,1,A01W,fagr,61.26,0.1734,28.30558276,2019
4036,1,A01W,fagr,101.42,0.2827,27.87418655,2019
2883,1,A01W,fagr,35.8,0.0953,26.62011173,2019
2880,1,A01W,fagr,60.08,0.17,28.29560586,2019
2881,1,A01W,fagr,64.85,0.1859,28.66615266,2019
2907,1,A01W,fagr,41.07,0.0995,24.22692963,2019
4048,1,A02W,fagr,80.51,0.2715,33.72251894,2019
4046,1,A02W,fagr,69.54,0.2046,29.42191544,2019
4047,1,A02W,fagr,72.93,0.2109,28.91814068,2019
4004,1,A03E,fagr,50.82,0.1677,32.99881936,2019
3248,1,A02E,fagr,60.6,0.1733,28.59735974,2019
3090,1,A02E,fagr,86.71,0.1967,22.68481144,2019
3089,1,A02E,fagr,68.56,0.1473,21.48483081,2019
3249,1,A02E,acpe,109.72,0.2715,24.74480496,2019
3165,1,A02E,acpe,183.09,0.5021,27.42367142,2019
3250,1,A02E,acpe,124.95,0.2784,22.28091236,2019
3252,1,A02E,acpe,86.47,0.1867,21.59130334,2019
4030,1,A01W,fagr,70.5,0.1877,26.62411348,2019
3254,1,A02E,acpe,88.13,0.1859,21.09383865,2019
4042,1,A02W,acpe,100.87,0.2232,22.12749083,2019
4052,1,A02W,acpe,113.25,0.2907,25.66887417,2019
4051,1,A02W,acpe,231.89,0.5641,24.32618914,2019
4050,1,A02W,acpe,121.2,0.3758,31.00660066,2019
3092,1,A02E,acpe,111.06,0.231,20.7995678,2019
4032,1,A01W,acpe,80.62,0.2257,27.99553461,2019
4033,1,A01W,fagr,58.91,0.184,31.23408589,2019
3253,1,A02E,acpe,136.14,0.3505,25.74555605,2019
2906,1,A01W,fagr,61.98,0.1626,26.23426912,2019
4035,1,A01W,acpe,71.22,0.1704,23.92586352,2019
2934,1,A01W,fagr,62.37,0.1765,28.29886163,2019
4041,1,A02W,acpe,130.2,0.2959,22.7265745,2019
4043,1,A02W,acpe,175.36,0.4083,23.28353102,2019
3000,1,A02W,acpe,94.09,0.2268,24.10458072,2019
3001,1,A02W,acpe,171.15,0.4259,24.88460415,2019
4040,1,A02W,acpe,153.27,0.3297,21.51105892,2019
3246,1,A02E,acsa,73.48,0.1813,24.67338051,2019
2061,1,B03W,acpe,92,0.3028,32.91304348,2019
3277,1,B03W,fagr,67.04,0.1726,25.74582339,2019
4024,1,A01E,fagr,52.99,0.1565,29.53387432,2019
2784,1,A01E,acpe,100.38,0.2495,24.85554891,2019
2647,1,A04W,fagr,53.22,0.1321,24.82149568,2019
2668,1,A04W,fagr,77.1,0.2165,28.08041505,2019
3247,1,A02E,fagr,47.28,0.1172,24.78849408,2019
4064,1,A04W,fagr,62.19,0.1441,23.1709278,2019
3276,1,B03W,fagr,56.23,0.1341,23.84847946,2019
2060,1,B03W,fagr,88.2,0.2395,27.15419501,2019
3273,1,B03W,fagr,47.64,0.1368,28.71536524,2019
2003,1,B03W,fagr,65.09,0.2101,32.27838378,2019
3278,1,B03W,acru,65.37,0.2536,38.79455408,2019
3280,1,B03W,fagr,51.27,0.2109,41.13516676,2019
3279,1,B03W,fagr,59.43,0.1885,31.71798755,2019
2062,1,B03W,fagr,69.37,0.1856,26.75508145,2019
3272,1,B03W,fagr,55.2,0.1443,26.14130435,2019
1968,1,B03W,fagr,68.46,0.1915,27.97253871,2019
3993,1,C02E,acpe,120.93,0.426,35.22699082,2019
3968,1,C02W,acpe,162.94,0.5992,36.77427274,2019
3989,1,C02E,acpe,138.35,0.4225,30.53848934,2019
3980,1,C02E,acpe,151.5,0.5283,34.87128713,2019
3976,1,C02W,acpe,144.52,0.5066,35.05397177,2019
3985,1,C02E,acpe,182.99,0.6213,33.95267501,2019
3167,1,C03W,acpe,156.87,0.4963,31.63766176,2019
