Subplot,Veg_plot,In_out,Species,Filename,ID_tag_2018,ID_tag_added_2019_or_after,final_ID,Canopy_status,Maximum_DBH_estimate_when_tagged_cm,girdled?,Notes_2019,Notes_2020,Notes_2021
D04E,SW,i,pist,D04E_pist_05_07122018,NA,3305,3305,sap,1,n,,,
D04E,SW,o,pist,D04E_pist_06_07122018,NA,3306,3306,un,8,n,,,
D04E,SW,o,pire,D04E_pire_01_07122018,NA,3307,3307,sap,4,n,,,
D04E,NW,o,pist,D04E_pist_07_07122018,NA,3309,3309,sap,3,n,,,
D04E,NW,o,pist,D04E_pist_09_07122018,NA,3310,3310,un,8,n,,,
C04W,NE,o,acru,C04E_acru_01_07252018,NA,3312,3312,un,6,n,Mistaken subplot ID in 2018; should be CO4W,,
C04W,NE,o,fagr,C04E_fagr_01_07252018,NA,3313,3313,sap,3,n,Mistaken subplot ID in 2018; should be CO4W,,
C04W,NE,i,pist,C04E_pist_01_07252018,NA,3314,3314,sap,1,n,Mistaken subplot ID in 2018; should be CO4W,,
C04W,SE,o,fagr,C04E_fagr_02_07252018,NA,3316,3316,un,7,y,Mistaken subplot ID in 2018; should be CO4W *girdled,girdled & sickly; still measured this year but replaced by #3319,dead; not measured this year
C04W,SE,o,fagr,C04E_fagr_03_07252018,NA,3317,3317,sap,1,n,Mistaken subplot ID in 2018; should be CO4W,,
C04W,SE,o,fagr,C04E_fagr_04_07252018,NA,3318,3318,sap,3,n,Mistaken subplot ID in 2018; should be CO4W *dead tree **found new fagr next to it; new 04,,
C04W,SE,o,fagr,NA,NA,3319,3319,NA,6,n,,replacing girdled #3316,
C04W,SW,o,acpe,C04E_acpe_01_07252018,NA,3321,3321,sap,1,n,Mistaken subplot ID in 2018; should be CO4W,dead; replaced by #4623,
C04W,SW,o,acru,C04E_acru_02_07252018,NA,3322,3322,sap,2,n,Mistaken subplot ID in 2018; should be CO4W,,
C04W,SW,o,fagr,C04E_fagr_05_07252018,NA,3323,3323,sap,1,n,Mistaken subplot ID in 2018; should be CO4W,,
C04W,NW,o,acru,C04E_acru_04_07252018,NA,3326,3326,sap,1,n,Mistaken subplot ID in 2018; should be CO4W,,
C04W,NW,o,fagr,C04E_fagr_06_07252018,NA,3327,3327,sap,1,n,Mistaken subplot ID in 2018; should be CO4W,,
